id,poste,ville,departement,region,lieux_poste,etablissements,finess,mois_parution,annee_parution,categorie,type_structure,type_etablissement,latitude,longitude,latitude_finess,longitude_finess,qualite_coordonnees,source_coordonnees,source,observations,texte_source_poste,raison_sociale_finess,qualite_appariement_finess
189,directeur délégué du site du centre hospitalier de Clamecy,Clamecy,Nièvre,Bourgogne-Franche-Comté,Clamecy,"centres hospitaliers d’Auxerre, d’Avallon, du Tonnerrois (Yonne) et de Clamecy (Nièvre) (Nièvre)",580005841,12,2025,Directeur adjoint,Sanitaire,Établissement sanitaire,47.4593843061022,3.5192878053445997,47.4593843061022,3.5192878053445997,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/publi-da-d3s-1812,Non renseigné,"centres hospitaliers d’Auxerre, d’Avallon, du Tonnerrois (Yonne) et de Clamecy (Nièvre) (Nièvre), un emploi de directeur délégué du site du centre hospitalier de Clamecy",BIO+ CLAMECY BIO+ CLAMECY,Très probable
190,directeur adjoint en charge des ressources humaines et des projets,Bullion,Yvelines,Île-de-France,Bullion,hôpital de pédiatrie et de rééducation de Bullion (Yvelines),780001657,12,2025,Directeur adjoint,Sanitaire,Établissement sanitaire,48.63352299271595,2.010512464347548,48.63352299271595,2.010512464347548,Coordonnées FINESS géolocalisées,"2,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/publi-da-d3s-1812,Non renseigné,"hôpital de pédiatrie et de rééducation de Bullion (Yvelines), un emploi de directeur adjoint en charge des ressources humaines et des projets",HOPITAL PEDIATRIE REEDUCATION BULLION HOPITAL PEDIATRIE REEDUCATION BULLION,Très probable
191,"directeur adjoint en charge du pôle handicap enfant (ITEP, SESSAD) et de la qualité, communication et gestion des risques",Non renseigné,Charente-Maritime,Nouvelle-Aquitaine,Charente-Maritime,établissement public départemental Les 2 Monts - Montlieu-La-Garde (Charente-Maritime),170021729,12,2025,Directeur adjoint,Sanitaire,Handicap enfant,46.13820271184993,-1.152069533004097,46.13820271184993,-1.152069533004097,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/publi-da-d3s-1812,Non renseigné,"établissement public départemental Les 2 Monts - Montlieu-La-Garde (Charente-Maritime), un emploi de directeur adjoint en charge du pôle handicap enfant (ITEP, SESSAD) et de la qualité, communication et gestion des risques",CONSEIL DEPARTEMENTAL CH MARITIME,Probable - à contrôler
192,directeur délégué en charge de l’EHPAD de Laguépie,Laguépie,Aveyron,Occitanie,Laguépie,centre hospitalier de Villefranche de Rouergue et EHPAD « Les Causeries » à Laguépie (Aveyron),120784137,12,2025,Directeur adjoint,Sanitaire,EHPAD sanitaire,44.35071940621058,2.036242853892768,44.35071940621058,2.036242853892768,Coordonnées FINESS géolocalisées,"2,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/publi-da-d3s-1812,Non renseigné,"centre hospitalier de Villefranche de Rouergue et EHPAD « Les Causeries » à Laguépie (Aveyron), un emploi de directeur délégué en charge de l’EHPAD de Laguépie",CMPP VILLEFRANCHE DE ROUERGUE CMPP VILLEFRANCHE DE ROUERGUE,Très probable
193,directeur adjoint en charge du pôle usagers du SEGAH et de la plateforme PHV du site de Ballancourt,Morangis,Essonne,Île-de-France,Morangis,"EHPAD de Palaiseau, EHPAD de Sainte-Geneviève-des-Bois et SEGA (service Essonnien du grand âge) à Morangis (Essonne)",910019462,12,2025,Directeur adjoint,Médico-social,EHPAD autonome,48.70924705147232,2.327915611083548,48.70924705147232,2.327915611083548,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/publi-da-d3s-1812,Non renseigné,"EHPAD de Palaiseau, EHPAD de Sainte-Geneviève-des-Bois et SEGA (service Essonnien du grand âge) à Morangis (Essonne), un emploi de directeur adjoint en charge du pôle usagers du SEGAH et de la plateforme PHV du site de Ballancourt",EHPAD PUBLIC GENEVIEVE LAROQUE EHPAD PUBLIC DEPARTEMENTAL DE MORANGIS SITE PRINCIPAL,Très probable
194,directeur délégué des EHPAD en direction commune avec le CH de Château-Thierry Les Tilleuls - Neuilly Saint Front - Résidence de la Vallée - Charly sur Marne,Château-Thierry,Aisne,Hauts-de-France,Château-Thierry,"centre hospitalier de Château-Thierry, EHPAD de Charly-sur-Marne et EHPAD de Neuilly-Saint-Front (Aisne)",020001061,12,2025,Directeur adjoint,Sanitaire,EHPAD sanitaire,49.050533011543365,3.4086563520834354,49.050533011543365,3.4086563520834354,Coordonnées FINESS géolocalisées,"2,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/publi-da-d3s-1812,Non renseigné,"centre hospitalier de Château-Thierry, EHPAD de Charly-sur-Marne et EHPAD de Neuilly-Saint-Front (Aisne), un emploi de directeur délégué des EHPAD en direction commune avec le CH de Château-Thierry Les Tilleuls - Neuilly Saint Front - Résidence de la Vallée - Charly sur Marne",CH CHÂTEAU-THIERRY,Très probable
195,"directeur adjoint, référente de l’hôpital Casanova, des pôles de gériatrie et des filières de territoire du GHT Plaine de France",Saint-Denis,Seine-Saint-Denis,Île-de-France,Saint-Denis,centre hospitalier de Saint-Denis (Seine-Saint-Denis),930026273,12,2025,Directeur adjoint,Sanitaire,Établissement sanitaire,48.90649356031576,2.3631229292740707,48.90649356031576,2.3631229292740707,Coordonnées FINESS géolocalisées,"2,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/publi-da-d3s-1812,Non renseigné,"centre hospitalier de Saint-Denis (Seine-Saint-Denis), un emploi de directeur adjoint, référente de l’hôpital Casanova, des pôles de gériatrie et des filières de territoire du GHT Plaine de France",CDS DE LA PLAINE SAINT DENIS,Très probable
196,"directeur délégué du centre hospitalier de Grandvilliers, de la Fondation Halleur et des EHPAD de l’Age Bleu, de Breteuil et de Chambly",Beauvais,Oise,Hauts-de-France,Beauvais,"centres hospitaliers de Beauvais, Crèvecœur-le-Grand et Clermont-de-l’Oise (Oise)",600000194,12,2025,Directeur adjoint,Sanitaire,EHPAD sanitaire,49.45070209201178,2.071930823771711,49.45070209201178,2.071930823771711,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/publi-da-d3s-1812,Non renseigné,"centres hospitaliers de Beauvais, Crèvecœur-le-Grand et Clermont-de-l’Oise (Oise), un emploi de directeur délégué du centre hospitalier de Grandvilliers, de la Fondation Halleur et des EHPAD de l’Age Bleu, de Breteuil et de Chambly",CH BEAUVAIS,Très probable
197,Directeur / directrice,Ursuline,Gironde,Nouvelle-Aquitaine,Ursuline,EHPAD La Fontaine d’Ursuline et EHPAD Hubert Lalanne (Gironde),330786211,1,2026,Chef d'établissement,Médico-social,EHPAD autonome,44.3976687365384,-0.3545451806769599,44.3976687365384,-0.3545451806769599,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jo-290126-chef-d3s,Non renseigné,EHPAD La Fontaine d’Ursuline et EHPAD Hubert Lalanne (Gironde),EHPAD PUBLIC HUBERT LALANNE EHPAD PUBLIC HUBERT LALANNE,Très probable
198,Directeur / directrice,Chateauroux,Indre,Centre-Val de Loire,Chateauroux,Etablissement public départemental Blanche de Fontarce à Chateauroux (Indre),360007397,1,2026,Chef d'établissement,Médico-social,Handicap adulte,46.81512778639354,1.7225300953405014,46.81512778639354,1.7225300953405014,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jo-290126-chef-d3s,Non renseigné,Etablissement public départemental Blanche de Fontarce à Chateauroux (Indre),ESAT DE CHATEAUROUX ESAT DE CHATEAUROUX,Très probable
